series,size,loops,model,height,height_tolerance,width,weight,mounting_options,thru_hole_mm,thread_mm,C_Sink_metric,Max_static_load,Max_deflection,Kv,Ks
CR3,100,M,CR3-400-DM,19,±1.52,22,5.7,"A,B,C,D,E,S",Ø3.30,M3 X 0.5,90,12.0,8.4,6.1,6.1
CR3,200,M,CR3-400-DM,23,±1.52,24,6.2,"A,B,C,D,E,S",Ø3.30,M3 X 0.5,90,8.5,11.9,3.5,3.5
CR3,300,M,CR3-400-DM,27,±1.52,27,6.8,"A,B,C,D,E,S",Ø3.30,M3 X 0.5,90,6.2,15.5,1.8,1.8
CR3,400,M,CR3-400-DM,33,±1.52,30,7.4,"A,B,C,D,E,S",Ø3.30,M3 X 0.5,90,4.4,20.6,1.1,1.1
CR4,100,M,CR4-400-DM,42,±1.52,47,40,"A,B,C,D,E,S",Ø7.00,M6 X 1.0,90,8.5,17.3,1.9,1.9
CR4,200,M,CR4-400-DM,53,±1.52,54,40,"A,B,C,D,E,S",Ø7.00,M6 X 1.0,90,7.1,26.4,1.1,1.1
CR4,300,M,CR4-400-DM,60,±1.52,59,43,"A,B,C,D,E,S",Ø7.00,M6 X 1.0,90,5.3,33.3,0.70,0.70
CR4,400,M,CR4-400-DM,75,±1.52,68,48,"A,B,C,D,E,S",Ø7.00,M6 X 1.0,90,3.3,47.0,0.4,0.4
CR5,100,M,CR5-400-DM,41,±1.52,48,45,"A,B,C,D,E,S",Ø7.00,M6 X 1.0,90,20.0,16.5,4.4,4.4
CR5,200,M,CR5-400-DM,53,±1.52,54,54,"A,B,C,D,E,S",Ø7.00,M6 X 1.0,90,13.0,25.7,2.1,2.1
CR5,300,M,CR5-400-DM,60,±1.52,59,59,"A,B,C,D,E,S",Ø7.00,M6 X 1.0,90,11.0,32.5,1.4,1.4
CR5,400,M,CR5-400-DM,76,±1.52,67,67,"A,B,C,D,E,S",Ø7.00,M6 X 1.0,90,6.7,48.5,0.70,0.70
CR6,100,M,CR6-400-DM,47,±1.52,54,57,"A,B,C,D,E,S",Ø7.00,M6 X 1.0,90,40.0,20.6,7.9,7.9
CR6,200,M,CR6-400-DM,55,±1.52,59,62,"A,B,C,D,E,S",Ø7.00,M6 X 1.0,90,30.0,27.4,4.4,4.4
CR6,300,M,CR6-400-DM,64,±1.52,64,65,"A,B,C,D,E,S",Ø7.00,M6 X 1.0,90,22.0,34.3,2.6,2.6
CR6,400,M,CR6-400-DM,79,±1.52,73,74,"A,B,C,D,E,S",Ø7.00,M6 X 1.0,90,16.0,48.0,1.6,1.6
